,subregion,numbers
0,Anderson,55.0
1,Andrews,9.9
2,Angelina,108.8
3,Aransas,91.9
4,Archer,10.0
5,Armstrong,2.1
6,Atascosa,36.8
7,Austin,44.0
8,Bailey,8.7
9,Bandera,25.9
10,Bastrop,83.5
11,Baylor,4.3
12,Bee,36.2
13,Bell,295.2
14,Bexar,1383.1
15,Blanco,14.8
16,Borden,0.7
17,Bosque,18.5
18,Bowie,104.6
19,Brazoria,230.7
20,Brazos,332.8
21,Brewster,1.5
22,Briscoe,1.8
23,Brooks,7.7
24,Brown,40.3
25,Burleson,26.1
26,Burnet,43.0
27,Caldwell,69.8
28,Calhoun,42.2
29,Callahan,15.1
30,Cameron,456.0
31,Camp,63.3
32,Carson,6.7
33,Cass,32.5
34,Castro,9.0
35,Chambers,58.8
36,Cherokee,48.3
37,Childress,10.1
38,Clay,9.9
39,Cochran,4.0
40,Coke,3.6
41,Coleman,7.0
42,Collin,930.0
43,Collingsworth,3.3
44,Colorado,21.7
45,Comal,193.9
46,Comanche,14.9
47,Concho,4.2
48,Cooke,43.9
49,Coryell,71.7
50,Cottle,1.7
51,Crane,5.6
52,Crockett,1.3
53,Crosby,6.7
54,Culberson,0.6
55,Dallam,4.5
56,Dallas,2718.0
57,Dawson,15.4
58,Deaf Smith,12.9
59,Delta,20.4
60,Denton,754.3
61,DeWitt,22.1
62,Dickens,2.7
63,Dimmit,7.5
64,Donley,4.0
65,Duval,6.6
66,Eastland,20.1
67,Ector,152.8
68,Edwards,0.9
69,El Paso,790.6
70,Ellis,159.9
71,Erath,35.0
72,Falls,23.3
73,Fannin,38.1
74,Fayette,25.8
75,Fisher,4.4
76,Floyd,6.5
77,Foard,1.9
78,Fort Bend,679.5
79,Franklin,37.3
80,Freestone,22.6
81,Frio,15.2
82,Gaines,11.7
83,Galveston,769.9
84,Garza,7.2
85,Gillespie,23.5
86,Glasscock,1.4
87,Goliad,8.5
88,Gonzales,18.6
89,Gray,24.3
90,Grayson,129.6
91,Gregg,445.4
92,Grimes,33.8
93,Guadalupe,184.9
94,Hale,36.1
95,Hall,3.8
96,Hamilton,10.2
97,Hansford,6.1
98,Hardeman,6.0
99,Hardin,61.3
100,Harris,2402.4
101,Harrison,72.9
102,Hartley,4.1
103,Haskell,6.5
104,Hays,231.7
105,Hemphill,4.2
106,Henderson,89.9
107,Hidalgo,493.2
108,Hill,36.6
109,Hockley,25.2
110,Hood,121.7
111,Hopkins,45.8
112,Houston,19.3
113,Howard,38.9
114,Hudspeth,0.8
115,Hunt,102.5
116,Hutchinson,25.0
117,Irion,1.5
118,Jack,9.9
119,Jackson,17.0
120,Jasper,38.0
121,Jeff Davis,1.0
122,Jefferson,287.9
123,Jim Hogg,4.7
124,Jim Wells,47.2
125,Johnson,208.3
126,Jones,21.8
127,Karnes,19.8
128,Kaufman,132.4
129,Kendall,50.4
130,Kenedy,0.3
131,Kent,0.9
132,Kerr,45.0
133,Kimble,3.7
134,King,0.3
135,Kinney,2.6
136,Kleberg,36.4
137,Knox,4.4
138,La Salle,4.6
139,Lamar,54.9
140,Lamb,13.8
141,Lampasas,27.6
142,Lavaca,19.9
143,Lee,26.4
144,Leon,15.7
145,Liberty,65.3
146,Limestone,25.8
147,Lipscomb,3.5
148,Live Oak,11.1
149,Llano,20.7
150,Loving,0.1
151,Lubbock,311.3
152,Lynn,6.6
153,Madison,29.3
154,Marion,27.7
155,Martin,5.2
156,Mason,4.3
157,Matagorda,33.4
158,Maverick,42.4
159,McCulloch,7.8
160,McLennan,226.5
161,McMullen,0.6
162,Medina,34.7
163,Menard,2.5
164,Midland,152.0
165,Milam,24.3
166,Mills,6.6
167,Mitchell,10.3
168,Montague,21.2
169,Montgomery,437.5
170,Moore,24.3
171,Morris,51.3
172,Motley,1.2
173,Nacogdoches,68.2
174,Navarro,47.3
175,Newton,15.5
176,Nolan,16.7
177,Nueces,405.8
178,Ochiltree,11.1
179,Oldham,1.4
180,Orange,245.3
181,Palo Pinto,29.5
182,Panola,29.7
183,Parker,129.4
184,Parmer,11.7
185,Pecos,3.3
186,Polk,43.0
187,Potter,133.3
188,Presidio,2.0
189,Rains,47.6
190,Randall,132.4
191,Reagan,2.9
192,Real,4.7
193,Red River,12.4
194,Reeves,5.2
195,Refugio,9.6
196,Roberts,1.0
197,Robertson,19.4
198,Rockwall,616.7
199,Runnels,10.0
200,Rusk,57.7
201,Sabine,22.0
202,San Augustine,16.7
203,San Jacinto,46.3
204,San Patricio,93.5
205,San Saba,5.4
206,Schleicher,2.6
207,Scurry,18.7
208,Shackelford,3.7
209,Shelby,32.0
210,Sherman,3.3
211,Smith,227.6
212,Somervell,45.5
213,Starr,49.8
214,Stephens,10.7
215,Sterling,1.2
216,Stonewall,1.6
217,Sutton,2.8
218,Swisher,8.8
219,Tarrant,2094.7
220,Taylor,143.6
221,Terrell,0.4
222,Terry,14.2
223,Throckmorton,1.8
224,Titus,79.6
225,Tom Green,72.4
226,Travis,1034.4
227,Trinity,21.0
228,Tyler,23.5
229,Upshur,67.4
230,Upton,2.7
231,Uvalde,17.0
232,Val Verde,15.5
233,Van Zandt,62.4
234,Victoria,98.4
235,Walker,86.5
236,Waller,84.1
237,Ward,12.8
238,Washington,55.8
239,Webb,74.5
240,Wharton,38.0
241,Wheeler,5.9
242,Wichita,209.5
243,Wilbarger,13.9
244,Willacy,37.5
245,Williamson,378.0
246,Wilson,53.4
247,Winkler,8.5
248,Wise,65.4
249,Wood,65.0
250,Yoakum,9.9
251,Young,20.3
252,Zapata,14.0
253,Zavala,9.0
